date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation,month,description
2014-07-01,27,22,32,20,28,11,38,1943,1901,0,0.3,5.51,July,dry
2014-07-02,28,22,33,20,28,13,38,2001,1966,2.44,0.33,4.55,July,rain
2014-07-03,26,21,31,20,28,12,39,1933,1966,4.52,0.3,7.11,July,rain
2014-07-04,21,18,23,20,29,13,39,1986,1949,0.36,0.33,4.47,July,rain
2014-07-05,22,17,27,20,29,12,38,1979,1999,0,0.3,7.8,July,dry
2014-07-06,24,19,29,20,29,12,39,1979,2010,0,0.33,5,July,dry
2014-07-07,27,22,32,20,29,13,38,1914,2010,0.1,0.33,7.95,July,rain
2014-07-08,27,22,33,21,29,13,38,1894,1993,0.99,0.36,4.57,July,rain
2014-07-09,27,22,31,21,29,12,41,1963,1936,0.23,0.36,2.77,July,rain
2014-07-10,26,22,28,21,29,13,39,1890,1993,0,0.38,4.55,July,dry
2014-07-11,26,22,30,21,29,14,37,1898,1988,0,0.38,4.93,July,dry
2014-07-12,26,22,29,21,29,14,37,1926,1966,0,0.38,6.81,July,dry
2014-07-13,26,22,28,21,29,12,38,1888,1966,0.08,0.43,8.03,July,rain
2014-07-14,26,22,29,21,29,14,38,1926,1954,1.17,0.41,4.06,July,rain
2014-07-15,26,22,30,21,29,14,39,1930,1995,3.3,0.38,5.92,July,rain
2014-07-16,24,20,27,21,29,13,37,1946,1980,0,0.41,3.51,July,dry
2014-07-17,23,19,27,21,29,14,38,1892,1953,0,0.38,7.95,July,dry
2014-07-18,23,18,27,21,29,14,38,1925,1953,0,0.38,4.47,July,dry
2014-07-19,22,20,24,21,29,14,39,1924,1977,0,0.41,4.62,July,dry
2014-07-20,22,19,26,21,29,13,38,1890,1980,0,0.38,5,July,dry
2014-07-21,24,19,29,21,29,13,40,1890,1977,0,0.38,5.74,July,dry
2014-07-22,26,22,30,21,29,13,40,1873,2011,0,0.36,4.72,July,dry
2014-07-23,27,22,31,21,29,14,38,1890,2011,0.48,0.38,6.12,July,rain
2014-07-24,24,21,27,21,29,13,36,1893,1999,0,0.38,9.53,July,dry
2014-07-25,23,19,28,21,29,14,36,1953,1999,0,0.38,4.17,July,dry
2014-07-26,24,21,27,21,29,13,37,1920,1940,0,0.41,9.65,July,dry
2014-07-27,26,22,29,21,29,13,37,1920,1963,0.05,0.41,6.73,July,rain
2014-07-28,24,20,28,21,29,14,36,1903,1999,0.48,0.43,7.9,July,rain
2014-07-29,21,18,24,21,29,15,37,1914,1949,0,0.43,8.81,July,dry
2014-07-30,22,17,27,21,29,14,37,1956,1988,0,0.43,9.04,July,dry
2014-07-31,24,20,28,21,29,14,39,1914,1933,0,0.43,5.82,July,dry
2014-08-01,26,22,29,21,29,15,38,1964,1933,0,0.41,7.24,August,dry
2014-08-02,21,17,23,21,29,14,38,1924,1955,1.04,0.41,6.32,August,rain
2014-08-03,22,19,24,21,29,13,36,1927,2005,0.18,0.43,6.88,August,rain
2014-08-04,25,21,29,21,29,13,38,1886,1944,0,0.41,8.26,August,dry
2014-08-05,27,22,32,21,29,13,38,1951,1944,0,0.41,3.66,August,dry
2014-08-06,25,21,28,21,29,14,36,1994,1955,0,0.41,8.41,August,dry
2014-08-07,24,19,28,21,29,14,40,1994,1918,0,0.38,5.54,August,dry
2014-08-08,23,18,28,21,29,12,37,1903,2001,0,0.38,6.6,August,dry
2014-08-09,25,19,31,21,29,14,39,1989,2001,0,0.38,10.41,August,dry
2014-08-10,26,20,31,21,28,13,37,1879,1949,0,0.36,11.79,August,dry
2014-08-11,26,22,31,21,28,13,39,1962,1944,0,0.36,6.07,August,dry
2014-08-12,24,21,26,20,28,13,36,1889,1944,0.48,0.36,9.19,August,rain
2014-08-13,24,20,28,20,28,13,37,1930,2005,1.35,0.36,6.86,August,rain
2014-08-14,21,17,25,20,28,12,37,1964,1988,0,0.38,14.76,August,dry
2014-08-15,19,16,23,20,28,12,36,1964,1988,0,0.36,3.86,August,dry
2014-08-16,22,17,26,20,28,13,36,1880,1944,0,0.38,12.19,August,dry
2014-08-17,23,19,28,20,28,13,35,1979,1944,0.03,0.36,7.26,August,rain
2014-08-18,22,17,27,20,28,13,34,1915,2002,0,0.36,10.03,August,dry
2014-08-19,23,17,28,20,28,13,34,1924,2002,0,0.38,6.43,August,dry
2014-08-20,25,21,29,20,28,13,36,1949,1955,0,0.36,9.22,August,dry
2014-08-21,23,18,28,20,28,12,36,1922,1955,0.89,0.38,10.64,August,rain
2014-08-22,22,18,26,19,28,11,35,1895,1916,0.15,0.36,4.7,August,rain
2014-08-23,22,19,25,19,28,11,33,1923,1916,0.03,0.36,7.7,August,rain
2014-08-24,22,18,27,19,28,11,34,1890,1972,0,0.36,9.17,August,dry
2014-08-25,24,18,31,19,28,11,35,1940,1948,0,0.36,4.72,August,dry
2014-08-26,27,21,32,19,27,12,39,1887,1948,0,0.3,8.23,August,dry
2014-08-27,27,21,32,19,27,10,38,1885,1948,0,0.33,10.57,August,dry
2014-08-28,23,19,28,19,27,10,38,1885,1948,0,0.33,10.13,August,dry
2014-08-29,22,16,27,19,27,10,37,1986,1953,0,0.3,6.81,August,dry
2014-08-30,23,18,27,19,27,10,37,1965,1973,0,0.3,5.84,August,dry
2014-08-31,28,23,32,19,27,10,38,1976,1953,1.57,0.3,9.55,August,rain
2014-09-01,28,24,31,19,27,11,36,1872,1953,0,0.33,9.75,September,dry
2014-09-02,29,25,33,18,27,11,39,1886,1953,0,0.33,5.38,September,dry
2014-09-03,26,22,30,18,27,10,37,1893,1929,0,0.33,8.43,September,dry
2014-09-04,26,21,31,18,26,8,36,1883,1929,0,0.36,8.84,September,dry
2014-09-05,27,22,31,18,26,11,34,1963,1985,0,0.33,6.22,September,dry
2014-09-06,26,19,33,18,26,9,36,1924,1881,0.28,0.33,8.28,September,rain
2014-09-07,23,18,27,18,26,8,38,1888,1881,0,0.36,5.26,September,dry
2014-09-08,21,18,24,18,26,12,34,1955,1919,0,0.33,12.34,September,dry
2014-09-09,20,17,23,17,26,9,34,1883,1915,0,0.33,2.18,September,dry
2014-09-10,22,17,27,17,25,6,36,1883,1983,0,0.33,3.51,September,dry
2014-09-11,24,21,28,17,25,6,37,1917,1983,0,0.33,7.37,September,dry
2014-09-12,21,17,26,17,25,8,34,1917,1961,0,0.36,5.97,September,dry
2014-09-13,18,14,21,17,24,8,34,1963,1952,0.66,0.36,10.01,September,rain
2014-09-14,17,12,22,17,24,8,34,1975,1931,0,0.36,9.7,September,dry
2014-09-15,17,13,22,16,24,7,33,1913,1927,0,0.38,10.57,September,dry
2014-09-16,18,14,21,16,24,8,34,1966,1915,0.94,0.38,12.75,September,rain
2014-09-17,18,13,23,16,24,7,34,1986,1991,0,0.38,8.56,September,dry
2014-09-18,19,14,24,16,24,7,33,1990,1891,0,0.38,9.96,September,dry
2014-09-19,16,12,19,16,23,7,34,1929,1983,0,0.38,10.92,September,dry
2014-09-20,19,14,24,15,23,7,34,1993,1983,0,0.38,5.89,September,dry
2014-09-21,22,19,24,15,23,4,35,1871,1895,0.38,0.38,14.07,September,rain
2014-09-22,17,13,22,15,23,5,35,1904,1914,0,0.38,5.94,September,dry
2014-09-23,17,11,22,14,23,5,36,1947,1895,0,0.36,21.03,September,dry
2014-09-24,18,14,22,14,22,4,32,1963,1959,0,0.38,5.74,September,dry
2014-09-25,16,14,18,14,22,4,32,1887,1970,0.81,0.36,5.99,September,rain
2014-09-26,20,14,25,14,22,6,33,1940,1970,0,0.38,5.94,September,dry
2014-09-27,22,16,28,14,22,5,32,1957,1933,0,0.38,7.95,September,dry
2014-09-28,23,18,29,13,21,5,31,1947,1881,0,0.41,9.75,September,dry
2014-09-29,23,19,26,13,21,6,31,1942,1945,0,0.41,5.54,September,dry
2014-09-30,19,17,22,13,21,4,32,1912,1986,0,0.41,6.71,September,dry
2014-10-01,17,16,18,13,21,2,31,1947,1927,0.05,0.38,12.65,October,rain
2014-10-02,19,16,21,13,21,4,32,1886,1927,0,0.36,5.49,October,dry
2014-10-03,18,13,22,12,20,3,31,1974,1919,0,0.36,3.94,October,dry
2014-10-04,16,11,21,12,20,3,31,1888,1941,3,0.33,10.29,October,rain
2014-10-05,12,8,16,12,20,2,34,1881,1941,0,0.38,5.05,October,dry
2014-10-06,16,10,21,12,19,2,32,1881,1941,0,0.36,6.07,October,dry
2014-10-07,19,17,22,12,19,4,31,1999,1944,0.15,0.38,10.39,October,rain
2014-10-08,20,17,23,11,19,3,31,1988,2007,0.1,0.36,10.92,October,rain
2014-10-09,17,13,20,11,19,3,30,2000,1916,0,0.38,18.62,October,dry
2014-10-10,14,11,18,11,19,2,33,1888,1939,0,0.41,5.49,October,dry
2014-10-11,13,10,16,11,18,1,29,1964,1949,0.84,0.38,7.77,October,rain
2014-10-12,13,9,17,11,18,2,30,1876,1954,0,0.36,10.82,October,dry
2014-10-13,15,11,18,11,18,1,31,1875,1954,0.13,0.36,6.99,October,rain
2014-10-14,21,17,24,10,18,3,29,1988,1920,0,0.38,4.47,October,dry
2014-10-15,23,21,25,10,18,0,29,1876,1956,1.75,0.36,4.32,October,rain
2014-10-16,19,16,22,10,18,1,31,1876,1897,2.82,0.36,5.46,October,rain
2014-10-17,18,15,22,10,17,1,32,1886,1938,0,0.36,5.79,October,dry
2014-10-18,17,13,21,9,17,2,28,1974,1928,0,0.36,6.22,October,dry
2014-10-19,10,7,13,9,17,-1,28,1940,1963,0,0.36,11.05,October,dry
2014-10-20,11,6,16,9,17,-1,27,1974,1969,0,0.36,7.06,October,dry
2014-10-21,16,13,19,9,17,0,29,1974,1920,0.28,0.36,5.51,October,rain
2014-10-22,12,10,14,9,17,-1,31,1940,1979,3.84,0.38,3.84,October,rain
2014-10-23,11,10,12,9,16,0,29,1969,1947,1.55,0.36,7.54,October,rain
2014-10-24,14,11,17,9,16,-1,26,1969,2001,0,0.36,6.38,October,dry
2014-10-25,15,10,19,8,16,-2,26,1879,1963,0.03,0.38,8.38,October,rain
2014-10-26,14,12,17,8,16,-1,26,1879,1964,0,0.33,8.64,October,dry
2014-10-27,13,9,17,8,16,-2,28,1936,1963,0,0.36,4.78,October,dry
2014-10-28,17,12,22,8,16,-2,28,1976,1919,0,0.33,6.32,October,dry
2014-10-29,17,11,22,8,16,-1,26,1925,1971,0,0.36,9.32,October,dry
2014-10-30,12,8,15,8,15,-1,28,1925,1961,0,0.33,4.17,October,dry
2014-10-31,10,7,13,8,15,-2,27,1925,1946,0.13,0.36,6.12,October,rain
2014-11-01,7,6,8,8,15,-1,29,1885,1950,0.89,0.36,4.29,November,rain
2014-11-02,7,5,9,7,14,-1,28,1887,1950,0,0.36,4.32,November,dry
2014-11-03,10,4,16,7,14,-2,26,1875,2003,0,0.33,6.6,November,dry
2014-11-04,16,12,20,7,14,-4,26,1879,1975,0,0.33,3.66,November,dry
2014-11-05,16,13,18,7,14,-5,26,1879,1961,0,0.33,4.93,November,dry
2014-11-06,12,9,14,7,14,-3,23,1879,1948,0.94,0.36,3.73,November,rain
2014-11-07,8,4,12,7,14,-2,26,1930,1938,0,0.33,7.52,November,dry
2014-11-08,6,2,9,7,14,-2,24,1886,1975,0,0.3,18.8,November,dry
2014-11-09,11,8,14,7,13,-4,24,1976,1975,0,0.33,9.27,November,dry
2014-11-10,12,7,16,6,13,-3,23,1914,1985,0,0.33,4.32,November,dry
2014-11-11,14,9,18,6,13,-2,23,1933,1949,0,0.3,3.58,November,dry
2014-11-12,13,8,18,6,13,-3,24,1926,1879,0,0.3,6.07,November,dry
2014-11-13,6,2,9,6,13,-6,23,1873,1931,0.51,0.33,5.23,November,rain
2014-11-14,4,2,6,6,13,-7,22,1905,1993,0.15,0.33,5.66,November,rain
2014-11-15,3,1,6,6,12,-7,27,1967,1993,0,0.33,6.17,November,dry
2014-11-16,4,2,7,6,12,-8,22,1933,1928,0.08,0.33,6.07,November,rain
2014-11-17,8,4,11,5,12,-7,22,1933,1953,3.91,0.36,3.91,November,rain
2014-11-18,2,-4,7,5,12,-8,23,1936,1928,0,0.36,3.15,November,dry
2014-11-19,-2,-6,2,5,12,-8,22,1936,1921,0,0.36,4.95,November,dry
2014-11-20,3,-1,7,4,11,-7,25,1873,1985,0,0.33,8.56,November,dry
2014-11-21,1,-2,3,4,11,-9,23,1879,1900,0,0.36,3.38,November,dry
2014-11-22,2,-2,7,4,11,-11,22,1880,1931,0,0.36,5.16,November,dry
2014-11-23,10,6,14,4,11,-10,22,1880,1931,0,0.36,4.67,November,dry
2014-11-24,16,12,21,4,11,-10,23,1880,1979,1.78,0.36,4.95,November,rain
2014-11-25,16,11,20,4,10,-7,23,1938,1979,0,0.33,3.45,November,dry
2014-11-26,6,1,11,4,10,-9,19,1938,1946,3.15,0.36,4.85,November,rain
2014-11-27,2,1,3,3,10,-11,22,1932,1896,0.05,0.33,5.46,November,rain
2014-11-28,1,-2,3,3,9,-9,21,1930,2011,0,0.36,5.44,November,dry
2014-11-29,2,-3,7,3,9,-9,21,1872,1990,0,0.36,5.11,November,dry
2014-11-30,10,7,13,3,9,-14,21,1875,1991,0,0.38,2.82,November,dry
2014-12-01,12,6,18,3,9,-13,21,1875,2006,0.23,0.36,4.37,December,rain
2014-12-02,4,2,6,3,9,-11,19,1875,1970,0.2,0.36,5.49,December,rain
2014-12-03,7,5,8,2,8,-13,21,1976,1998,0.15,0.38,4.14,December,rain
2014-12-04,5,3,7,2,8,-12,23,1882,1998,0,0.36,4.67,December,dry
2014-12-05,4,1,7,2,8,-12,21,1926,2001,1.3,0.36,3.25,December,rain
2014-12-06,7,4,10,2,8,-12,22,1871,2001,3.1,0.33,4.06,December,rain
2014-12-07,2,-1,6,2,8,-12,24,1926,1998,0.1,0.36,5.03,December,snow
2014-12-08,-1,-4,3,1,7,-12,18,1882,1927,0,0.36,3.91,December,dry
2014-12-09,4,2,6,1,7,-14,19,1876,1966,6.45,0.33,6.45,December,rain
2014-12-10,2,0,4,1,7,-16,21,1876,1946,0.2,0.36,4.11,December,rain
2014-12-11,2,-1,3,1,7,-14,18,1880,1879,0.03,0.36,6.12,December,snow
2014-12-12,2,0,3,1,7,-15,20,1988,1931,0,0.33,4.06,December,dry
2014-12-13,4,1,7,1,7,-13,18,1960,1923,0,0.33,7.7,December,dry
2014-12-14,6,3,8,0,6,-11,19,1976,1881,0,0.33,5.64,December,dry
2014-12-15,6,3,9,0,6,-14,19,1874,2008,0,0.33,3.4,December,dry
2014-12-16,7,3,9,0,6,-14,17,1876,1971,0.51,0.3,5.71,December,rain
2014-12-17,9,6,12,0,6,-17,17,1919,2000,0.05,0.33,5.79,December,rain
2014-12-18,4,3,6,-1,6,-18,17,1919,1984,0,0.3,3.3,December,dry
2014-12-19,2,-1,3,-1,6,-18,14,1884,1931,0,0.3,4.01,December,dry
2014-12-20,0,-1,1,-1,6,-20,16,1942,2002,0,0.3,4.62,December,dry
2014-12-21,1,-1,2,-1,5,-18,18,1942,2013,0,0.33,6.32,December,dry
2014-12-22,4,2,7,-1,5,-17,22,1872,2013,0.1,0.3,5.54,December,rain
2014-12-23,7,6,8,-1,5,-18,19,1883,1990,0.41,0.33,4.09,December,rain
2014-12-24,11,7,14,-1,5,-14,17,1983,1996,2.03,0.33,3.61,December,rain
